,PBLH_24,PBLH_48,PBLH_avg_24,PBLH_avg_48,Raw,Filtered,Raw_mean,Filt_mean
2015-04-01 00:00:00,,,,,2990.000,,,
2015-04-01 01:00:00,,,,,2890.000,,2888.571,
2015-04-01 02:00:00,,,,,2830.000,,1954.286,
2015-04-01 03:00:00,,,,,460.000,,1005.000,
2015-04-01 04:00:00,,,,,1280.000,1280.000,1013.571,
2015-04-01 05:00:00,,,,,1040.000,1040.000,1160.000,1160.000
2015-04-01 06:00:00,,,,,1730.000,1730.000,1707.143,1707.143
2015-04-01 07:00:00,,,,,1880.000,1880.000,1714.286,1714.286
2015-04-01 08:00:00,,,,,1750.000,1750.000,1162.857,1162.857
2015-04-01 09:00:00,,,,,300.000,300.000,292.857,292.857
2015-04-01 10:00:00,,,,,300.000,300.000,300.000,300.000
2015-04-01 11:00:00,,,,,320.000,320.000,324.286,324.286
2015-04-01 12:00:00,,,,,320.000,320.000,318.571,318.571
2015-04-01 13:00:00,,,,,280.000,280.000,416.429,416.429
2015-04-01 14:00:00,,,,,310.000,310.000,318.571,318.571
2015-04-01 15:00:00,,,,,1830.000,1830.000,1340.000,1340.000
2015-04-01 16:00:00,,,,,1950.000,1950.000,1970.000,1970.000
2015-04-01 17:00:00,,,,,2070.000,2070.000,2114.286,
2015-04-01 18:00:00,,,,,2200.000,,2242.857,
2015-04-01 19:00:00,,,,,2200.000,2200.000,2262.857,
2015-04-01 20:00:00,,,,,2200.000,,2346.429,
2015-04-01 21:00:00,,,,,2230.000,2230.000,2325.714,
2015-04-01 22:00:00,,,,,2940.000,,2085.000,
2015-04-01 23:00:00,,,,,2610.000,2610.000,2350.714,
2015-04-02 00:00:00,0.000,1142.069,0.000,999.280,1950.000,,2074.286,
2015-04-02 01:00:00,541.270,482.943,501.179,514.302,1650.000,,1804.286,
2015-04-02 02:00:00,326.266,434.080,274.478,429.614,1780.000,,1737.143,
2015-04-02 03:00:00,211.573,588.883,218.900,471.121,1680.000,,1695.714,
2015-04-02 04:00:00,147.592,556.061,143.263,470.495,350.000,350.000,1182.857,1182.857
2015-04-02 05:00:00,19.834,405.862,38.657,466.050,,,,
2015-04-02 06:00:00,19.826,373.725,24.296,422.015,,,,
2015-04-02 07:00:00,19.786,261.773,34.819,322.987,,,,
2015-04-02 08:00:00,19.766,65.966,44.016,217.168,,,,
2015-04-02 09:00:00,19.757,62.860,30.611,136.001,,,,
2015-04-02 10:00:00,19.735,49.472,29.624,79.828,,,,
2015-04-02 11:00:00,19.699,31.142,38.753,47.416,,,,
2015-04-02 12:00:00,19.683,76.982,31.682,74.696,,,,
2015-04-02 13:00:00,19.673,45.516,33.849,44.435,,,,
2015-04-02 14:00:00,152.703,240.219,176.227,262.558,,,,
2015-04-02 15:00:00,478.035,533.935,498.385,517.074,,,,
2015-04-02 16:00:00,688.940,701.466,733.888,691.791,,,,
2015-04-02 17:00:00,1296.905,977.855,1310.074,944.040,,,,
2015-04-02 18:00:00,1616.664,1465.772,1609.006,1458.957,,,,
2015-04-02 19:00:00,1955.320,1806.898,1923.060,1759.259,,,,
2015-04-02 20:00:00,2332.036,2133.030,2273.631,2065.653,,,,
2015-04-02 21:00:00,2598.284,2317.093,2503.509,2254.766,,,,
2015-04-02 22:00:00,1850.611,2574.554,2008.315,2475.693,,,,
2015-04-02 23:00:00,1206.327,2557.675,1196.708,2405.483,,,,
2015-04-03 00:00:00,0.000,2329.775,0.000,1565.318,,,,
2015-04-03 01:00:00,581.123,452.481,591.852,493.131,,,,
2015-04-03 02:00:00,225.178,483.339,225.176,647.780,,,,
2015-04-03 03:00:00,166.102,1254.011,164.205,844.008,,,,
2015-04-03 04:00:00,80.576,962.609,92.323,707.596,,,,
2015-04-03 05:00:00,19.837,539.180,105.087,449.988,1510.000,1510.000,,
2015-04-03 06:00:00,66.069,306.321,70.161,294.963,680.000,680.000,798.571,798.571
2015-04-03 07:00:00,67.310,308.518,65.702,212.285,1720.000,1720.000,670.000,670.000
2015-04-03 08:00:00,19.761,50.073,53.926,135.797,320.000,320.000,364.286,364.286
2015-04-03 09:00:00,19.729,131.200,62.375,106.591,360.000,360.000,525.000,
2015-04-03 10:00:00,19.694,59.580,40.498,70.833,310.000,,407.857,
2015-04-03 11:00:00,19.674,19.613,34.176,52.537,290.000,,277.143,
2015-04-03 12:00:00,19.660,62.197,33.014,48.868,485.000,,387.857,
2015-04-03 13:00:00,19.641,19.541,38.337,44.979,430.000,430.000,782.857,782.857
2015-04-03 14:00:00,274.523,372.884,274.361,266.527,300.000,300.000,1103.571,1103.571
2015-04-03 15:00:00,472.981,784.773,469.130,678.402,580.000,580.000,1009.286,1009.286
2015-04-03 16:00:00,643.945,1062.316,648.265,978.407,2440.000,2440.000,2165.000,2165.000
2015-04-03 17:00:00,1114.564,1213.974,1100.503,1171.797,2470.000,2470.000,2372.857,2372.857
2015-04-03 18:00:00,1594.470,1464.343,1566.754,1421.835,2580.000,2580.000,2432.857,2432.857
2015-04-03 19:00:00,1792.991,1791.967,1781.149,1727.788,2520.000,2520.000,2545.714,2545.714
