,PBLH_24,PBLH_48,PBLH_avg_24,PBLH_avg_48,Raw,Filtered,Raw_mean,Filt_mean
2015-06-01 00:00:00,0.000,1252.301,0.000,1123.970,,,,
2015-06-01 01:00:00,435.736,696.421,469.752,563.309,,,,
2015-06-01 02:00:00,368.523,274.469,408.153,278.242,,,,
2015-06-01 03:00:00,385.735,405.556,412.955,395.061,,,,
2015-06-01 04:00:00,558.240,439.120,439.158,557.105,,,,
2015-06-01 05:00:00,403.764,532.454,373.541,482.697,,,,
2015-06-01 06:00:00,376.171,404.872,386.582,400.256,,,,
2015-06-01 07:00:00,374.212,479.713,350.224,442.330,,,,
2015-06-01 08:00:00,403.735,457.797,370.862,431.549,,,,
2015-06-01 09:00:00,393.683,411.590,392.441,402.569,,,,
2015-06-01 10:00:00,429.067,460.246,391.373,422.622,,,,
2015-06-01 11:00:00,386.774,463.684,350.584,381.105,,,,
2015-06-01 12:00:00,394.395,444.059,354.323,361.401,,,,
2015-06-01 13:00:00,329.677,478.145,327.078,406.906,,,,
2015-06-01 14:00:00,406.948,593.454,399.516,535.402,,,,
2015-06-01 15:00:00,558.604,675.761,529.466,656.396,,,,
2015-06-01 16:00:00,694.385,819.959,659.134,778.467,,,,
2015-06-01 17:00:00,850.139,1139.068,817.097,1117.981,,,,
2015-06-01 18:00:00,1140.749,1459.827,1115.965,1467.768,,,,
2015-06-01 19:00:00,1583.079,1840.367,1536.437,1817.954,,,,
2015-06-01 20:00:00,1928.938,2058.317,1830.491,2045.188,,,,
2015-06-01 21:00:00,2052.411,2449.784,1876.855,2374.627,,,,
2015-06-01 22:00:00,1662.025,2648.452,1462.889,2526.955,,,,
2015-06-01 23:00:00,1279.661,2604.639,1120.880,2410.709,,,,
2015-06-02 00:00:00,0.000,2277.582,0.000,1775.878,,,,
2015-06-02 01:00:00,406.122,675.018,749.171,887.566,,,,
2015-06-02 02:00:00,419.481,898.474,596.467,822.114,,,,
2015-06-02 03:00:00,628.674,676.622,627.333,794.424,,,,
2015-06-02 04:00:00,599.570,863.501,532.046,842.116,,,,
2015-06-02 05:00:00,484.387,823.568,471.647,685.969,,,,
2015-06-02 06:00:00,377.676,568.734,363.328,517.825,,,,
2015-06-02 07:00:00,337.514,597.826,347.812,602.870,,,,
2015-06-02 08:00:00,258.483,483.697,316.395,514.663,,,,
2015-06-02 09:00:00,402.318,466.305,335.465,469.683,,,,
2015-06-02 10:00:00,320.850,541.972,319.757,498.052,,,,
2015-06-02 11:00:00,290.352,538.325,278.356,478.969,,,,
2015-06-02 12:00:00,258.078,525.569,274.215,466.159,,,,
2015-06-02 13:00:00,319.676,469.881,309.897,448.044,,,,
2015-06-02 14:00:00,484.464,509.360,445.049,494.609,,,,
2015-06-02 15:00:00,593.768,526.699,564.893,527.134,,,,
2015-06-02 16:00:00,675.255,676.537,643.261,661.210,,,,
2015-06-02 17:00:00,897.909,919.835,889.377,908.319,,,,
2015-06-02 18:00:00,1324.731,1249.271,1319.524,1242.614,,,,
2015-06-02 19:00:00,1810.516,1530.317,1709.926,1447.260,,,,
2015-06-02 20:00:00,2063.819,1786.406,2017.572,1705.566,,,,
2015-06-02 21:00:00,2318.405,2057.623,2264.382,1971.607,,,,
2015-06-02 22:00:00,2059.398,2048.269,2085.891,2066.649,,,,
2015-06-02 23:00:00,2284.446,2266.983,2071.737,2153.052,610.000,610.000,725.000,725.000
2015-06-03 00:00:00,0.000,1806.896,0.000,1775.135,580.000,,1043.571,
2015-06-03 01:00:00,539.193,1097.689,478.726,1196.623,1420.000,,1344.286,
2015-06-03 02:00:00,137.490,657.776,289.668,727.456,1090.000,,1197.143,
2015-06-03 03:00:00,355.985,1249.811,307.699,995.833,1020.000,1020.000,1155.714,
2015-06-03 04:00:00,138.607,839.821,229.936,747.694,970.000,,981.429,
2015-06-03 05:00:00,213.892,904.761,287.299,784.285,200.000,,741.429,
2015-06-03 06:00:00,413.169,776.178,399.857,635.551,,,,
2015-06-03 07:00:00,347.312,533.350,356.480,529.463,,,,
2015-06-03 08:00:00,260.427,246.340,261.475,249.849,,,,
2015-06-03 09:00:00,233.992,294.350,197.459,265.132,,,,
2015-06-03 10:00:00,151.502,242.214,169.450,288.652,,,,
2015-06-03 11:00:00,226.604,82.841,189.425,134.148,,,,
2015-06-03 12:00:00,248.980,306.517,235.069,218.556,,,,
2015-06-03 13:00:00,333.027,308.860,285.725,213.222,,,,
2015-06-03 14:00:00,411.404,498.982,407.428,452.836,,,,
2015-06-03 15:00:00,585.159,540.559,555.820,538.188,,,,
2015-06-03 16:00:00,642.096,688.184,616.125,677.048,,,,
2015-06-03 17:00:00,791.075,882.992,771.112,858.793,,,,
2015-06-03 18:00:00,1101.303,1151.505,1078.193,1109.884,,,,
2015-06-03 19:00:00,1444.067,1375.967,1414.811,1340.655,,,,
2015-06-03 20:00:00,1584.379,1835.852,1537.494,1787.336,,,,
2015-06-03 21:00:00,1805.019,2104.672,1761.648,2095.884,,,,
2015-06-03 22:00:00,1799.042,2274.603,1756.018,2173.271,,,,
2015-06-03 23:00:00,1790.974,2368.258,1815.431,2282.277,,,,
2015-06-04 00:00:00,0.000,2425.762,0.000,2323.001,,,,
2015-06-04 01:00:00,321.656,741.456,340.600,1155.526,,,,
2015-06-04 02:00:00,132.173,465.394,126.762,460.448,,,,
2015-06-04 03:00:00,98.232,479.179,198.347,570.638,,,,
2015-06-04 04:00:00,358.415,605.457,340.046,519.793,,,,
2015-06-04 05:00:00,97.116,447.805,234.030,467.465,,,,
