,PBLH_24,PBLH_48,PBLH_avg_24,PBLH_avg_48,Raw,Filtered,Raw_mean,Filt_mean
2015-03-01 00:00:00,0.000,2322.997,0.000,2341.131,2630.000,,,
2015-03-01 01:00:00,178.310,502.184,196.733,632.717,2550.000,2550.000,2294.286,
2015-03-01 02:00:00,224.531,946.686,224.152,949.436,1385.000,1385.000,1022.857,1022.857
2015-03-01 03:00:00,375.564,882.128,232.765,851.497,1500.000,1500.000,1336.429,1336.429
2015-03-01 04:00:00,267.622,678.716,159.164,601.273,1475.000,1475.000,1183.571,1183.571
2015-03-01 05:00:00,137.028,476.739,142.652,454.915,1340.000,1340.000,841.429,841.429
2015-03-01 06:00:00,237.421,530.242,171.648,400.875,1320.000,1320.000,1080.000,1080.000
2015-03-01 07:00:00,62.556,422.883,107.721,299.494,430.000,430.000,398.571,398.571
2015-03-01 08:00:00,96.955,295.665,83.218,233.850,340.000,340.000,435.714,435.714
2015-03-01 09:00:00,72.690,218.032,44.076,184.161,540.000,540.000,555.714,555.714
2015-03-01 10:00:00,90.055,179.606,58.786,151.237,580.000,580.000,581.429,581.429
2015-03-01 11:00:00,80.164,127.230,81.566,113.235,420.000,420.000,501.429,501.429
2015-03-01 12:00:00,19.450,58.135,49.873,106.431,585.000,585.000,497.857,497.857
2015-03-01 13:00:00,19.435,58.602,34.389,126.785,470.000,470.000,527.143,527.143
2015-03-01 14:00:00,105.710,409.803,85.445,353.339,470.000,470.000,468.571,468.571
2015-03-01 15:00:00,340.458,547.126,329.139,502.445,470.000,470.000,580.714,580.714
2015-03-01 16:00:00,486.305,620.057,482.728,590.713,410.000,410.000,814.286,814.286
2015-03-01 17:00:00,764.350,766.297,751.025,751.887,1485.000,1485.000,1916.429,1916.429
2015-03-01 18:00:00,1213.444,980.897,1172.856,959.868,2260.000,2260.000,2278.571,2278.571
2015-03-01 19:00:00,1474.401,1247.284,1452.481,1238.745,2225.000,2225.000,2301.429,2301.429
2015-03-01 20:00:00,1789.738,1643.795,1785.082,1627.427,2090.000,2090.000,2427.857,2427.857
2015-03-01 21:00:00,2048.797,2063.813,2032.876,2022.246,2760.000,2760.000,2827.143,2827.143
2015-03-01 22:00:00,2255.088,2345.286,2210.472,2320.746,2560.000,2560.000,2758.571,2758.571
2015-03-01 23:00:00,2378.467,2426.003,2274.487,2396.614,2950.000,2950.000,2911.429,2911.429
2015-03-02 00:00:00,0.000,2222.367,0.000,2213.695,2720.000,2720.000,2730.000,2730.000
2015-03-02 01:00:00,324.051,404.078,206.520,529.917,2630.000,2630.000,2227.143,2227.143
2015-03-02 02:00:00,144.302,604.513,166.071,547.161,1620.000,1620.000,1857.143,
2015-03-02 03:00:00,50.193,609.545,284.276,628.997,2300.000,,2301.429,
2015-03-02 04:00:00,344.930,605.221,247.418,493.366,2470.000,,1762.143,
2015-03-02 05:00:00,251.503,372.269,201.977,344.990,1360.000,1360.000,1335.000,1335.000
2015-03-02 06:00:00,111.374,259.448,112.595,256.946,1270.000,1270.000,1270.000,1270.000
2015-03-02 07:00:00,90.908,258.846,79.838,249.583,1470.000,1470.000,1402.143,1402.143
2015-03-02 08:00:00,89.528,327.085,87.204,270.793,745.000,745.000,711.429,711.429
2015-03-02 09:00:00,82.251,326.854,81.689,235.693,1500.000,1500.000,1276.429,1276.429
2015-03-02 10:00:00,100.979,289.018,108.486,187.270,1790.000,1790.000,1437.857,1437.857
2015-03-02 11:00:00,83.906,177.720,86.335,134.849,570.000,570.000,1041.429,1041.429
2015-03-02 12:00:00,66.089,181.171,74.063,157.816,540.000,540.000,545.714,545.714
2015-03-02 13:00:00,70.494,139.391,75.038,159.473,560.000,560.000,558.571,558.571
2015-03-02 14:00:00,180.682,262.218,179.898,246.572,560.000,560.000,697.857,697.857
