,PBLH_24,PBLH_48,PBLH_avg_24,PBLH_avg_48,Raw,Filtered,Raw_mean,Filt_mean
2015-09-01 00:00:00,0.000,478.631,0.000,435.217,1160.000,1160.000,,
2015-09-01 01:00:00,194.765,396.039,194.397,431.025,1170.000,,1425.000,
2015-09-01 02:00:00,99.327,393.915,133.612,411.249,1190.000,1190.000,1197.143,
2015-09-01 03:00:00,63.739,409.116,48.555,401.139,1240.000,,1268.571,
2015-09-01 04:00:00,34.333,357.781,34.104,382.370,1340.000,1340.000,1328.571,
2015-09-01 05:00:00,68.489,466.989,55.246,436.227,1310.000,,1311.429,
2015-09-01 06:00:00,41.230,377.523,43.398,393.887,,,,
2015-09-01 07:00:00,43.892,382.502,50.333,413.431,,,,
2015-09-01 08:00:00,19.720,137.407,60.989,312.944,,,,
2015-09-01 09:00:00,19.688,122.791,31.180,235.548,,,,
2015-09-01 10:00:00,54.538,58.704,105.613,156.170,,,,
2015-09-01 11:00:00,56.629,56.376,91.530,111.292,,,,
2015-09-01 12:00:00,58.572,61.770,92.201,66.398,,,,
2015-09-01 13:00:00,79.640,58.377,81.961,91.654,,,,
2015-09-01 14:00:00,328.307,412.850,323.584,410.450,,,,
2015-09-01 15:00:00,465.126,535.729,510.100,521.614,,,,
2015-09-01 16:00:00,623.034,675.668,647.923,658.158,,,,
2015-09-01 17:00:00,887.203,848.371,912.186,825.889,,,,
2015-09-01 18:00:00,1276.342,1143.229,1302.707,1127.073,,,,
2015-09-01 19:00:00,1695.848,1797.018,1658.494,1718.136,,,,
2015-09-01 20:00:00,2187.104,2104.234,1977.123,1963.510,,,,
2015-09-01 21:00:00,2008.170,2122.635,2039.983,1939.376,,,,
2015-09-01 22:00:00,1407.869,1822.820,1312.035,1739.962,,,,
2015-09-01 23:00:00,991.362,350.602,1016.332,533.419,,,,
2015-09-02 00:00:00,0.000,1006.982,0.000,1251.551,,,,
2015-09-02 01:00:00,131.442,415.560,135.263,518.984,,,,
2015-09-02 02:00:00,177.168,470.620,146.988,426.515,,,,
2015-09-02 03:00:00,97.055,257.817,119.644,291.560,,,,
2015-09-02 04:00:00,55.596,454.038,120.291,485.532,,,,
2015-09-02 05:00:00,307.017,413.737,274.144,416.252,,,,
2015-09-02 06:00:00,259.500,408.466,228.514,418.396,1040.000,,,
2015-09-02 07:00:00,170.799,355.717,180.070,379.166,290.000,,491.429,
2015-09-02 08:00:00,110.242,355.217,111.853,391.773,450.000,,405.714,
2015-09-02 09:00:00,208.313,294.811,148.523,317.300,820.000,,768.571,
2015-09-02 10:00:00,102.104,318.306,88.395,314.160,1025.000,,962.143,
2015-09-02 11:00:00,62.350,310.496,61.819,310.004,1130.000,,1111.429,
2015-09-02 12:00:00,144.810,260.301,100.744,254.470,1590.000,1590.000,1265.000,
2015-09-02 13:00:00,23.675,327.820,76.996,344.198,1320.000,1320.000,744.286,
2015-09-02 14:00:00,309.135,453.019,313.696,406.444,340.000,,408.571,
2015-09-02 15:00:00,471.655,628.407,477.381,597.695,320.000,,353.571,
2015-09-02 16:00:00,772.663,753.881,737.366,720.992,400.000,,460.714,
2015-09-02 17:00:00,1003.543,930.479,956.461,915.846,600.000,,590.000,
2015-09-02 18:00:00,1181.837,1261.552,1169.412,1232.932,1730.000,,1569.286,
